,gameId,gameDuraton,blueWins,blueWardPlaced,blueKills,blueDeath,redWardPlaced,blueTotalGoldDiff,blueTotalMinionKillDiff,FirstTowerDiff,HeraldDiff,FirstDragonDiff,blueJungleMinionDiff,TotalAssistDiff,AvgLevelDiff
8557,4211740181,2264,1,98,43,36,127,6368,30,1,-1,1,41,1,0.3999999999999986
8558,4209407385,1583,0,53,18,33,70,-11388,-58,-1,-1,-1,-42,-32,-1.8000000000000007
8559,4207069020,952,0,22,5,22,40,-8473,-23,-1,0,-1,-3,-20,-1.799999999999999
8560,4207124670,1426,1,56,36,18,53,11843,48,1,0,1,84,27,2.4000000000000004
8561,4205586113,1587,0,68,20,29,94,-10762,-69,-1,-1,-1,-143,11,-1.5999999999999996
8562,4205541668,2348,0,110,25,37,165,-5575,50,1,-1,-1,-51,-20,-0.5999999999999979
8563,4202605069,1396,0,50,13,25,57,-12476,-96,1,-1,-1,-14,-29,-1.8000000000000007
8564,4202556591,1293,1,45,25,12,54,11768,86,1,0,1,41,25,1.1999999999999993
8565,4202456397,1059,0,26,9,27,37,-14165,-59,-1,0,1,-52,-21,-2.0
8566,4202358200,2169,1,106,31,26,108,1167,-186,-1,-1,1,-133,20,0.0
8567,4202268913,1438,1,60,25,11,68,12749,-12,1,1,1,51,27,1.4000000000000004
8568,4198385293,1466,1,41,24,16,65,8433,33,-1,1,-1,49,27,1.3999999999999986
8569,4198203687,1901,1,104,40,32,106,3941,55,-1,-1,1,-21,22,1.1999999999999993
8570,4197779239,1689,0,59,13,30,74,-7372,10,1,-1,1,-13,-21,-1.5999999999999996
8571,4195798459,1970,0,85,18,24,113,-8371,-30,-1,-1,-1,-38,-7,-1.200000000000001
8572,4195527424,2170,1,96,47,42,76,-227,35,1,-1,1,-25,-12,-0.6000000000000014
8573,4195474985,1912,1,93,35,24,85,9740,27,1,1,1,66,30,1.799999999999999
8574,4195482142,974,1,37,28,11,40,11992,47,1,0,1,21,17,1.3999999999999986
8575,4192931943,942,1,36,26,7,28,11428,58,1,0,-1,9,24,1.3999999999999986
8576,4192845464,1215,0,46,5,19,53,-9940,-35,-1,0,-1,-4,-26,-1.0
8577,4192179678,2008,1,104,27,24,105,8115,-4,1,1,1,69,-2,0.40000000000000036
8578,4191462458,1324,1,64,25,10,35,7908,29,1,0,1,47,23,1.5999999999999996
8579,4191409351,195,0,5,1,1,2,-415,-8,0,0,0,0,0,0.20000000000000018
8580,4191341486,687,0,13,4,9,18,-6829,-109,-1,0,-1,0,-3,-0.8000000000000007
8581,4189353414,934,0,30,10,15,33,-6485,-71,-1,0,-1,-44,-6,-1.1999999999999993
8582,4189218221,1444,1,48,34,20,64,9405,64,1,0,1,18,21,0.7999999999999989
8583,4189203058,1769,1,79,29,25,76,7740,24,1,1,-1,-29,13,0.8000000000000007
8584,4189100223,1269,0,69,11,13,74,-3947,-36,-1,0,-1,-1,1,-0.1999999999999993
